Phrase,Frequency,Average Rating
хорошем уровне,157,4.66
Приветливый персонал,156,4.77
местного производства,156,4.08
вечерние программы,155,4.72
отличный сервис,154,4.92
Второй раз,154,4.23
вечерняя программа,153,4.69
хороший пляж,153,4.45
хорошая анимация,152,4.66
огромную благодарность,150,4.91
вечернее шоу,150,4.56
Анимационная команда,149,4.87
большое разнообразие,149,4.76
подогреваемый бассейн,148,4.74
детское меню,148,4.55
хорошее настроение,147,4.74
импортный алкоголь,147,4.28
третий день,145,3.30
2021 года,145,4.37
детская дискотека,145,4.54
рыбный день,143,4.48
главного ресторана,143,4.49
огромный плюс,143,4.59
главного корпуса,141,4.21
пляжный волейбол,141,4.70
стандартный номер,140,4.11
мясных блюд,140,4.50
детской анимации,140,4.46
развлекательные программы,138,4.80
турецкий кофе,138,4.55
песчаный пляж,138,4.64
семейный отдых,136,4.66
Номерной фонд,135,4.01
другие отели,134,4.11
просторные номера,134,4.68
большой минус,134,4.10
красная рыба,133,4.49
ночной клуб,131,4.58
единственный минус,129,4.76
другой стороны,129,4.13
апельсиновый сок,129,4.45
полном восторге,128,4.82
высокого уровня,127,4.63
вкусная кухня,126,4.86
маленьким ребенком,126,4.03
первая линия,125,4.06
хорошее обслуживание,125,4.75
Постельное белье,125,3.62
хороший сервис,125,4.68
2022 года,125,4.48
отдельную плату,125,4.17
крайней мере,124,3.95
свободном доступе,124,4.47
комфортного отдыха,124,4.78
свежевыжатые соки,123,4.70
лучшую сторону,123,4.43
замечательный отель,122,4.91
незабываемый отдых,122,4.95
пенная вечеринка,122,4.53
уже второй раз,121,4.89
Общее впечатление,120,4.21
2017 года,120,4.47
разных отелях,120,4.28
главном здании,119,4.40
грязную посуду,119,3.79
отдельная история,119,3.62
хороший выбор,119,4.57
Огромная благодарность,119,4.90
второй половине,119,4.36
разнообразная кухня,119,4.89
приятные впечатления,118,4.67
приятный персонал,118,4.72
Сам номер,118,3.99
хорошем состоянии,117,4.55
другом отеле,116,3.87
детская зона,116,4.61
2023 года,116,4.49
русский язык,116,4.39
прекрасный отель,116,4.86
большим количеством,115,4.48
первые дни,114,4.12
соседних отелей,114,4.00
рыбный ресторан,114,4.57
ценовой категории,113,4.11
вечерних шоу,112,4.55
второй год,112,4.80
дополнительную плату,111,3.95
вечерняя анимация,111,4.40
Основной ресторан,111,4.35
второй линии,110,4.21
семейный номер,110,4.07
другими отелями,110,4.30
тренажёрный зал,110,4.64
уютные номера,110,4.88
огромная территория,109,4.69
вкусный кофе,109,4.61
анимационной команде,109,4.91
диетический стол,109,4.68
самого утра,108,4.34
ванная комната,108,4.11
Отличный сервис,108,4.96
боковым видом,108,4.54
очередной раз,107,4.53
большой пляж,107,4.51
самого отеля,107,4.22
прекрасном отеле,106,4.89
свежем воздухе,106,4.69
главный корпус,106,4.06
живой музыкой,105,4.70
замечательном отеле,105,4.95
Огромная территория,105,4.89
уютный отель,104,4.85
свободных лежаков,104,4.11
детский ресторан,104,4.68
майские праздники,103,4.46
чудесный отдых,103,4.95
вкусное мороженое,103,4.60
положительных эмоций,103,4.78
прекрасный вид,103,4.63
новых встреч,103,4.97
пешей доступности,102,4.47
общем отель,102,4.32
первый год,102,4.62
первого дня,101,4.25
Новый год,101,4.34
свободные места,101,4.56
хорошие номера,100,4.41
отдельная благодарность,100,4.84
теплое море,100,4.34
Вечерняя анимация,100,4.44
крупная галька,100,4.20
береговая линия,99,4.39
прекрасным видом,99,4.71
первый этаж,99,3.89
чистая территория,98,4.64
по крайней мере,98,3.98
внимательное отношение,98,4.86
хорошее питание,98,4.56
красивый отель,98,4.62
интересные шоу,98,4.82
Живая музыка,97,4.64
детский аквапарк,97,4.57
спокойный отдых,97,4.50
основного корпуса,97,4.32
Шведский стол,97,4.40
Хорошая анимация,97,4.68
2015 года,97,4.37
общем ресторане,97,4.01
береговой линии,97,4.35
Отличная анимация,96,4.84
водных горок,96,4.56
детские площадки,96,4.52
Вечерняя программа,96,4.64
красивым видом,96,4.56
остальное время,96,3.89
детское питание,96,4.63
турецкая ночь,95,4.43
маленьким ребёнком,95,3.96
главного бассейна,95,4.46
шведского стола,95,4.33
соседнем отеле,94,3.87
теннисные корты,94,4.71
алкогольные напитки,94,4.34
лучших отелей,94,4.89
свободных номеров,93,3.49
Огромный выбор,93,4.84
живой музыки,93,4.46
разных стран,92,4.58
отличное обслуживание,92,4.90
прошлого года,92,4.43
удобное расположение,91,4.52
последний раз,91,3.76
вкусное питание,91,4.76
высокий уровень,91,4.70
вкусной еды,91,4.57
теннисный корт,91,4.62
приятное впечатление,91,4.42
тематические вечера,91,4.73
детская комната,90,4.60
свежевыжатый сок,90,4.44
замечательный отдых,90,4.92
индивидуальный трансфер,90,4.51
активного отдыха,90,4.80
разных видов,90,4.64
первый отель,90,4.41
анимационная программа,90,4.76
Первое впечатление,90,3.98
круглые сутки,88,4.44
громкая музыка,88,3.77
футбольное поле,87,4.64
большим удовольствием,87,4.80
рыбных блюд,86,4.68
живую музыку,86,4.64
общее впечатление,86,4.26
пенные вечеринки,86,4.68
основного здания,85,4.25
просторный номер,85,4.61
постельного белья,85,4.28
душевая кабина,85,4.03
шведском столе,84,4.14
Данный отель,84,3.91
анимационной команды,84,4.78
Красивая территория,84,4.54
разных возрастов,84,4.66
очень довольны отдыхом,84,4.94
Доброго времени,84,4.38
Отличный отдых,84,4.95
Главный ресторан,83,4.34
шикарный вид,83,4.52
Шикарный отель,83,4.99
достаточном количестве,82,4.50
любимый отель,82,4.77
прошлым годом,82,4.50
лучший отдых,82,4.96
турецких отелях,82,4.25
хороший персонал,81,4.69
турецких отелей,81,4.25
вкусные блюда,81,4.65
положительные впечатления,81,4.65
2014 года,80,4.38
турецкие сладости,80,4.57
очень вкусная еда,80,4.86
открытым небом,80,4.42
турецкие лепешки,80,4.49
отличное питание,80,4.79
хорошее впечатление,80,4.44
приятного отдыха,79,4.53
галечный пляж,79,4.39
свежие овощи,79,4.34
Взрослая анимация,78,4.50
разного возраста,78,4.75
Хороший пляж,78,4.50
зимней концепции,78,4.55
третьем этаже,77,4.28
Детская площадка,77,4.15
общем отдых,77,4.60
индивидуальный подход,77,4.87
двуспальная кровать,77,4.41
тематические ужины,77,4.71
Очень вкусная еда,76,4.89
мелкой галькой,76,4.56
поздний ужин,76,4.39
отдельный респект,76,4.79
отличного отдыха,76,4.76
зубные щетки,76,4.50
огромный минус,76,3.59
новом корпусе,76,4.03
вечернее время,76,4.31
свежий ремонт,75,4.50
хорошие впечатления,75,4.64
основной корпус,75,4.10
2020 года,75,4.30
детские аниматоры,75,4.68
2016 года,75,4.61
первой половине,75,4.41
открытым балконом,74,4.05
Отзывчивый персонал,73,4.81
обслуживающему персоналу,73,4.77
большая часть,73,3.94
местный алкоголь,73,3.84
самого начала,73,4.27
огромная благодарность,72,4.85
турецкой кухни,72,4.58
зимний период,72,4.58
старый город,72,4.44
классный отель,72,4.87
пляжных полотенец,72,3.90
Вежливый персонал,72,4.83
Особое спасибо,72,4.87
прошлый раз,72,4.53
отличная анимация,71,4.79
отличный номер,71,4.68
разных видах,71,4.50
спортивные мероприятия,71,4.79
открытый бассейн,71,4.63
различные игры,71,4.89
отельного гида,71,3.91
раннего утра,71,4.22
последние дни,71,3.84
торговый центр,70,4.52
разнообразное меню,70,4.76
импортные напитки,70,4.23
дневное время,70,4.42
достойном уровне,70,4.74
Сам пляж,70,4.08
ватные диски,70,4.39
доброго времени,70,4.57
хорошая еда,70,4.52
чистейшее море,70,4.69
туалетную бумагу,70,2.97
отличную работу,69,4.81
разных местах,69,4.34
хорошая уборка,69,4.53
различные шоу,69,4.85
Вечерние программы,69,4.63
Хорошее питание,69,4.71
общий язык,68,4.83
качественный алкоголь,68,4.62
другого отеля,68,3.66
комфортный отдых,68,4.73
основного бассейна,68,4.48
ватные палочки,68,4.32
безалкогольные напитки,68,4.44
Чистый пляж,67,4.74
итальянский ресторан,67,4.46
грязная посуда,67,3.04
неограниченном количестве,66,4.63
разные игры,66,4.88
хорошая кухня,66,4.66
тёплое море,66,4.52
отдельная песня,66,3.80
белое вино,66,4.06
ежедневная уборка,66,4.68
большом количестве,66,4.38
активный отдых,65,4.71
красивая природа,65,4.36
Большое разнообразие,65,4.88
самом центре,65,4.48
большой теннис,65,4.70
негативные отзывы,65,4.14
старого города,65,4.46
отличный пляж,65,4.64
хорошим настроением,65,4.68
приятная атмосфера,64,4.82
очень высоком уровне,64,4.94
приятная девушка,63,4.62
прекрасное обслуживание,63,4.89
Отличное питание,63,4.88
разные виды,63,4.70
большого количества,63,4.27
достаточное количество,63,4.43
большой ассортимент,63,4.69
2019 году,63,4.38
взрослая анимация,63,4.66
соседних отелях,63,3.84
Очень красивая территория,62,4.67
очень приветливый персонал,62,4.83
отличная еда,62,4.79
вкусные десерты,62,4.59
зеленой территорией,62,4.64
Детский стол,62,4.02
особое внимание,62,4.58
пляжном баре,62,4.25
красивом месте,62,4.56
позднего вечера,62,4.60
веселые ребята,62,4.83
детской площадке,62,3.86
алкогольных напитков,62,4.51
больших бассейна,61,4.65
Большое количество,61,4.68
пенный массаж,61,4.51
плохие отзывы,61,4.13
мясные блюда,61,4.46
новый отель,61,4.41
Ванная комната,61,3.99
первый взгляд,60,3.54
прохладительные напитки,60,4.65
Огромное количество,60,4.46
добрый день,60,4.24
разных вариациях,60,4.31
поздний выезд,59,4.17
большой территорией,59,4.51
целыми днями,59,4.59
Добрый вечер,59,4.40
